ordem,id,receita,motivo_rejeicao,localizacao_quarentena,situacao_atual
2,30,Molho zabaglione,"Imagem antiga (img/70/): guarnição não confirmada. Imagem nova gerada no Notion (2026-09-03): frutas frescas (figos/framboesas/damascos) NÃO confirmadas nos ingredientes; fundo fora do padrão visual.",img/_nao_utilizar/versoes_rejeitadas/,SEM_IMAGEM_APROVADA — ambas versões rejeitadas
3,5,Champanhita,"Imagem antiga (img/70/): biscoitos champanhe crus/soltos, não o doce montado em camadas gelado descrito na receita.",img/_nao_utilizar/versoes_rejeitadas/,RESOLVIDA — imagem nova gerada no Notion (2026-09-03) aprovada como img/003-champanhita.webp
4,81,Glacê para bolo,"Imagem antiga (img/70/): receita confirma chocolate em pó, imagem mostrava glacê branco sem qualquer traço de chocolate.",img/_nao_utilizar/versoes_rejeitadas/,RESOLVIDA — imagem nova gerada no Notion (2026-09-03) aprovada como img/004-glace-para-bolo.webp
5,11,Bolo Sarah,"Imagem antiga: decoração moderna de chocolate (ganache, rosetas, raspas) não confirmada.",img/_nao_utilizar/versoes_rejeitadas/,RESOLVIDA — imagem nova gerada no Notion (2026-09-03) aprovada como img/005-bolo-sarah.webp
6,24,Pão irlandês com pastel,"Imagem antiga: formato sem espiral de rocambole (receita pede fatia revelando espiral).",img/_nao_utilizar/versoes_rejeitadas/,RESOLVIDA — imagem nova gerada no Notion (2026-09-03) aprovada como img/006-pao-irlandes-com-pastel.webp
7,40,Pudim Francês,"Imagem antiga: receita tem queijo ralado confirmado, imagem mostrava pudim genérico de leite condensado sem queijo.",img/_nao_utilizar/versoes_rejeitadas/,RESOLVIDA — imagem nova gerada no Notion (2026-09-03) aprovada como img/007-pudim-frances.webp
8,60,Torta antiga,"Torta antiga (ambas versões): massa treliçada incompatível com bolo denso de chocolate/amêndoas em camadas coberto de nata.",img/_nao_utilizar/versoes_rejeitadas/,SEM_IMAGEM_APROVADA — nenhuma imagem nova gerada para esta receita
12,46,Waffles de chocolate,"Waffles de chocolate: apresentados como waffles individuais com chantilly, não como pilha recheada e gelada.",img/_nao_utilizar/versoes_rejeitadas/,SEM_IMAGEM_APROVADA — nenhuma imagem nova gerada para esta receita
15,65,Bolo de mel e cacau (título atribuído pelo conteúdo),Bolo de mel e cacau: nozes/amêndoas decorativas no topo não confirmadas.,img/_nao_utilizar/versoes_rejeitadas/,SEM_IMAGEM_APROVADA — nenhuma imagem nova gerada para esta receita
17,43,Torta de Natal australiana,"Torta de Natal australiana: formato individual fechado tipo mince pie, não bolo assado inteiro com glacê.",img/_nao_utilizar/versoes_rejeitadas/,SEM_IMAGEM_APROVADA — nenhuma imagem nova gerada para esta receita
18,73,Torta chiffon de limão,"Torta chiffon de limão: aparência de cheesecake denso, não recheio leve e aerado (chiffon).",img/_nao_utilizar/versoes_rejeitadas/,SEM_IMAGEM_APROVADA — nenhuma imagem nova gerada para esta receita
19,49,Chocolate chiffon pie,"Chocolate chiffon pie: recheio bege claro, não claramente marrom-chocolate como exigido.",img/_nao_utilizar/versoes_rejeitadas/,SEM_IMAGEM_APROVADA — nenhuma imagem nova gerada para esta receita
