ordem,id,receita,page_id,status,arquivo_aprovado,motivo
1,8,Pudim de coco queimado,d6ed6174-4f45-8225-89ab-015398f2eb17,APROVADA,img/001-pudim-de-coco-queimado.webp,Coco tostado e calda confirmados na receita real.
2,30,Molho zabaglione,d04d6174-4f45-82f9-9c3c-81c97e01519a,REJEITADA_SEM_IMAGEM_APROVADA,,Molho zabaglione: guarnição (hortelã + pó de especiaria) não confirmada nos ingredientes (parcialmente ilegíveis).
3,5,Champanhita,24ad6174-4f45-838f-9cd0-0156bff74277,APROVADA,img/003-champanhita.webp,"Imagem nova gerada no Notion (2026-09-03): doce montado em camadas de bolacha champanhe + creme em pirex, coberto com chantilly e coco. Compatível com a receita real."
4,81,Glacê para bolo,a19d6174-4f45-832c-9644-817e92226dfc,APROVADA,img/004-glace-para-bolo.webp,"Imagem nova gerada no Notion (2026-09-03): glacê de cor marrom-chocolate brilhante, compatível com chocolate em pó confirmado."
5,11,Bolo Sarah,c0bd6174-4f45-8302-96e5-810aec243b77,APROVADA,img/005-bolo-sarah.webp,"Imagem nova gerada no Notion (2026-09-03): bolo em 3 camadas com recheio de caramelo claro, sem chocolate. Compatível com a receita real."
6,24,Pão irlandês com pastel,7e0d6174-4f45-82bc-ae74-0197c568a4bc,APROVADA,img/006-pao-irlandes-com-pastel.webp,"Imagem nova gerada no Notion (2026-09-03): fatia mostrando espiral de rocambole, exatamente o formato exigido."
7,40,Pudim Francês,42cd6174-4f45-823c-a8fd-818e980d93c8,APROVADA,img/007-pudim-frances.webp,"Imagem nova gerada no Notion (2026-09-03): queijo ralado visível, pudim denso/dourado compatível com pudim de queijo assado."
8,60,Torta antiga,1c0d6174-4f45-82e4-bbb9-019d829faba2,REJEITADA_SEM_IMAGEM_APROVADA,,Torta antiga (ambas versões): massa treliçada incompatível com bolo denso de chocolate/amêndoas em camadas coberto de nata.
9,35,Pudim de ameixas e claras (Sugi),ec7d6174-4f45-83bf-b40d-812169e557bd,APROVADA,img/009-pudim-de-ameixas-e-claras-sugi.webp,"Imagem nova gerada no Notion (2026-09-03): cor rosa-arroxeada de ameixa, textura aerada, compatível com ameixas+claras confirmadas."
10,56,Bolo de fubá (Clarice),e07d6174-4f45-82ab-b9b4-811aad13f548,APROVADA,img/010-bolo-de-fuba-clarice.webp,"Cobertura tostada/marrom compatível com 'fubá queimado' da receita real (versão duplicadas/, não a versão restante/ com açúcar branco)."
