Ordem,ID,Receita,Slug,Caminho,Hash,Status,Motivo,Utilizada
1,8,Pudim de coco queimado,pudim-de-coco-queimado,img/001-pudim-de-coco-queimado.webp,5b981a21b1b5dcf38c20c4b4ea72208d1410ddc9c63651d73c75b48011c02ee9,APROVADA,Coco tostado e calda confirmados na receita real.,sim
2,30,Molho zabaglione,molho-zabaglione,,,REJEITADA,Molho zabaglione: guarnição (hortelã + pó de especiaria) não confirmada nos ingredientes (parcialmente ilegíveis).,nao
3,5,Champanhita,champanhita,img/003-champanhita.webp,73b106864f6fad63ea818ce8c7b1e807477e9ce9799d8dc0535a320782c9f8f3,APROVADA,"Imagem nova gerada no Notion (2026-09-03): doce montado em camadas de bolacha champanhe + creme em pirex, coberto com chantilly e coco. Compatível com a receita real.",sim
4,81,Glacê para bolo,glace-para-bolo,img/004-glace-para-bolo.webp,6ec9254872f9889c71e7ad65840c0381c66d2c8498886cf89cbed1fca6a9e398,APROVADA,"Imagem nova gerada no Notion (2026-09-03): glacê de cor marrom-chocolate brilhante, compatível com chocolate em pó confirmado.",sim
5,11,Bolo Sarah,bolo-sarah,img/005-bolo-sarah.webp,0175060105629999e19bec85f368eeaa808c65cb75f479be8198c227d63d2b47,APROVADA,"Imagem nova gerada no Notion (2026-09-03): bolo em 3 camadas com recheio de caramelo claro, sem chocolate. Compatível com a receita real.",sim
6,24,Pão irlandês com pastel,pao-irlandes-com-pastel,img/006-pao-irlandes-com-pastel.webp,a198b86ede053dc0284e2350ae1d3447ae5de744fd6f3b64a501592a4221856c,APROVADA,"Imagem nova gerada no Notion (2026-09-03): fatia mostrando espiral de rocambole, exatamente o formato exigido.",sim
7,40,Pudim Francês,pudim-frances,img/007-pudim-frances.webp,4fb01680f395018522a75cc5c6279906e8299d820f252c1762cc172dd6ea0dd6,APROVADA,"Imagem nova gerada no Notion (2026-09-03): queijo ralado visível, pudim denso/dourado compatível com pudim de queijo assado.",sim
8,60,Torta antiga,torta-antiga,,,REJEITADA,Torta antiga (ambas versões): massa treliçada incompatível com bolo denso de chocolate/amêndoas em camadas coberto de nata.,nao
9,35,Pudim de ameixas e claras (Sugi),pudim-de-ameixas-e-claras-sugi,img/009-pudim-de-ameixas-e-claras-sugi.webp,422f965724aa41cc4784355370c967c059e0cf6a42630f646a1424134851cc2a,APROVADA,"Imagem nova gerada no Notion (2026-09-03): cor rosa-arroxeada de ameixa, textura aerada, compatível com ameixas+claras confirmadas.",sim
10,56,Bolo de fubá (Clarice),bolo-de-fuba-clarice,img/010-bolo-de-fuba-clarice.webp,3a2d7a95cb18195ca980d5a27e3e6e2f17a6af1b7ab8e53da8968c5ab3167d85,APROVADA,"Cobertura tostada/marrom compatível com 'fubá queimado' da receita real (versão duplicadas/, não a versão restante/ com açúcar branco).",sim
11,75,Gelatina com salada de frutas,gelatina-com-salada-de-frutas,img/011-gelatina-com-salada-de-frutas.webp,6c6bfdbe5dcf4241325e4da9b0b7d5eb48034ec2be87417f8d997b2449dbd26a,APROVADA,Imagem nova gerada no Notion (2026-09-03): gelatina vermelha transparente com frutas variadas confirmadas visíveis.,sim
12,46,Waffles de chocolate,waffles-de-chocolate,,,REJEITADA,"Waffles de chocolate: apresentados como waffles individuais com chantilly, não como pilha recheada e gelada.",nao
13,23,Bolo de ameixas,bolo-de-ameixas,img/013-bolo-de-ameixas.webp,0e8d9feed0326a6c83b4f9056583e24e47b66a9a58206ec25207317a1d3e3aec,APROVADA,Ameixas visíveis e confirmadas como ingrediente.,sim
14,26,Bolachinhas Quaker,bolachinhas-quaker,img/014-bolachinhas-quaker.webp,5a72f919ab957b39f109d59f3a0e4b9c43fb5e9fb7b2c4de5fa0ede5a4ff744d,APROVADA,Textura de aveia compatível com ingrediente Aveia Quaker confirmado.,sim
