pasta,motivo
img/_nao_utilizar/outro_projeto/1o__fotografia_gastron_u00f4mica_realista_de_bacalhau_no_forno_com_batatas,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/1o__fotografia_gastron_u00f4mica_realista_de_bolo_de_cenoura_com_cobertura_de,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/1o__fotografia_gastron_u00f4mica_realista_de_brigadeiro_gourmet_enrolado_com,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/1o__fotografia_gastron_u00f4mica_realista_de_coxinha_de_frango_dourada_e_frita,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/1o__fotografia_gastron_u00f4mica_realista_de_feijoada_completa_apresentada_de_forma,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/1o__fotografia_gastron_u00f4mica_realista_de_moqueca_de_peixe_em_panela_de_barro,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/1o__fotografia_gastron_u00f4mica_realista_de_p_u00e3o_de_queijo_mineiro_dourado_e,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/1o__fotografia_gastron_u00f4mica_realista_de_pudim_de_leite_condensado_com_calda_de,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/1o__fotografia_gastron_u00f4mica_realista_de_strogonoff_de_frango_com_arroz_branco,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/1o__fotografia_gastron_u00f4mica_realista_de_torta_de_lim_u00e3o_com_merengue_ma,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/20__fotografia_gastron_mica_realista_de_acaraj_bolinhos_de_feij_o_fradinho_fritos,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/20__fotografia_gastron_mica_realista_de_arroz_carreteiro_arroz_com_charque_picado,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/20__fotografia_gastron_mica_realista_de_bai_o_de_dois_arroz_feij_o_de_corda_e,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/20__fotografia_gastron_mica_realista_de_barreado_carne_cozida_desfiada_servida_com,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/20__fotografia_gastron_mica_realista_de_bob_de_camar_o_creme_de_mandioca_com_camar,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/20__fotografia_gastron_mica_realista_de_galinhada_arroz_com_frango_e_pequi,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/20__fotografia_gastron_mica_realista_de_moqueca_baiana_em_panela_de_barro_clara_com,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/20__fotografia_gastron_mica_realista_de_quindim_doce_de_ovos_e_coco_amarelo,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/20__fotografia_gastron_mica_realista_de_tacac_caldo_de_tucupi_com_jambu_e_camar_o,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/20__fotografia_gastron_mica_realista_de_vatap_servido_como_acompanhamento_ou_prato,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/30__fotografia_gastron_mica_realista_de_arroz_doce_com_canela_arroz_cremoso,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/30__fotografia_gastron_mica_realista_de_bolo_de_fub_com_goiabada_bolo_amarelo_r,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/30__fotografia_gastron_mica_realista_de_canjica_doce_de_milho_branco_com_leite_de,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/30__fotografia_gastron_mica_realista_de_cocada_branca_doce_de_coco_ralado_em_peda,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/30__fotografia_gastron_mica_realista_de_empad_o_de_frango_torta_de_massa_podre,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/30__fotografia_gastron_mica_realista_de_escondidinho_de_carne_seca_pur_de_mandioca,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/30__fotografia_gastron_mica_realista_de_farofa_de_ovos_farofa_crocante_com_peda_os,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/30__fotografia_gastron_mica_realista_de_mousse_de_maracuj_creme_aerado_com_sementes,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/30__fotografia_gastron_mica_realista_de_romeu_e_julieta_fatia_de_queijo_minas_com,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/30__fotografia_gastron_mica_realista_de_tutu_de_feij_o_feij_o_batido_com_farinha_de,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/40__fotografia_gastron_mica_realista_de_arroz_com_su_arroz_cozido_com_osso_do_lombo,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/40__fotografia_gastron_mica_realista_de_arroz_de_carreteiro_arroz_com_carne_de_sol,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/40__fotografia_gastron_mica_realista_de_bai_o_de_dois_arroz_com_feij_o_de_corda_e,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/40__fotografia_gastron_mica_realista_de_bob_de_camar_o_creme_de_mandioca_com_camar,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/40__fotografia_gastron_mica_realista_de_carne_de_sol_com_pir_o_de_leite_apresentada,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/40__fotografia_gastron_mica_realista_de_feij_o_tropeiro_feij_o_com_farinha_de,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/40__fotografia_gastron_mica_realista_de_galinhada_com_pequi_arroz_com_frango_e,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/40__fotografia_gastron_mica_realista_de_moqueca_capixaba_peixe_cozido_em_panela_de,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/40__fotografia_gastron_mica_realista_de_pato_no_tucupi_pato_cozido_em_tucupi_com,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/40__fotografia_gastron_mica_realista_de_vaca_atolada_carne_bovina_cozida_com,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/50__fotografia_gastron_mica_realista_de_arroz_com_lentilha_e_cebola_caramelizada,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/50__fotografia_gastron_mica_realista_de_babaganuche_pasta_de_berinjela_defumada_com,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/50__fotografia_gastron_mica_realista_de_baklava_doce_de_massa_folhada_com_nozes_e,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/50__fotografia_gastron_mica_realista_de_charuto_de_repolho_repolho_recheado_com,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/50__fotografia_gastron_mica_realista_de_esfirra_de_carne_massa_aberta_ou_fechada,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/50__fotografia_gastron_mica_realista_de_falafel_bolinhos_de_gr_o_de_bico_fritos,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/50__fotografia_gastron_mica_realista_de_homus_pasta_de_gr_o_de_bico_com_azeite_de,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/50__fotografia_gastron_mica_realista_de_kafta_grelhada_espetinhos_de_carne_mo_da,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/50__fotografia_gastron_mica_realista_de_quibe_de_bandeja_quibe_assado_com_recheio,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/50__fotografia_gastron_mica_realista_de_tabule_salada_de_trigo_com_tomate_pepino_e,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/60__fotografia_gastron_mica_realista_de_batata_r_stica_assada_gomos_de_batata_com,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/60__fotografia_gastron_mica_realista_de_espaguete_bolonhesa_massa_longa_com_molho,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/60__fotografia_gastron_mica_realista_de_fil_de_peixe_grelhado_fil_dourado_com_ervas,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/60__fotografia_gastron_mica_realista_de_lasanha_de_carne_camadas_de_massa_molho,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/60__fotografia_gastron_mica_realista_de_nhoque_ao_molho_sugo_bolinhos_de_batata_com,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/60__fotografia_gastron_mica_realista_de_quiche_de_alho_por_torta_aberta_com_recheio,Título não corresponde a nenhuma das 85 receitas do banco Notion.
img/_nao_utilizar/outro_projeto/60__fotografia_gastron_mica_realista_de_risoto_de_cogumelos_arroz_arb_reo_cremoso,Título não corresponde a nenhuma das 85 receitas do banco Notion.
