ordem,id,receita,arquivo,sha256,motivo_aprovacao
1,8,Pudim de coco queimado,img/001-pudim-de-coco-queimado.webp,5b981a21b1b5dcf38c20c4b4ea72208d1410ddc9c63651d73c75b48011c02ee9,Coco tostado e calda confirmados na receita real.
10,56,Bolo de fubá (Clarice),img/010-bolo-de-fuba-clarice.webp,3a2d7a95cb18195ca980d5a27e3e6e2f17a6af1b7ab8e53da8968c5ab3167d85,"Cobertura tostada/marrom compatível com 'fubá queimado' da receita real (versão duplicadas/, não a versão restante/ com açúcar branco)."
13,23,Bolo de ameixas,img/013-bolo-de-ameixas.webp,0e8d9feed0326a6c83b4f9056583e24e47b66a9a58206ec25207317a1d3e3aec,Ameixas visíveis e confirmadas como ingrediente.
14,26,Bolachinhas Quaker,img/014-bolachinhas-quaker.webp,5a72f919ab957b39f109d59f3a0e4b9c43fb5e9fb7b2c4de5fa0ede5a4ff744d,Textura de aveia compatível com ingrediente Aveia Quaker confirmado.
16,52,Sequilho de fubá,img/016-sequilho-de-fuba.webp,53a41e839c7dfd438d1d05953d95f41b80fec02fd0dec95107ef9ae982f070a5,Massa simples de fubá/araruta compatível.
3,5,Champanhita,img/003-champanhita.webp,73b106864f6fad63ea818ce8c7b1e807477e9ce9799d8dc0535a320782c9f8f3,"Doce montado em camadas de bolacha champanhe + creme em pirex, coberto com chantilly e coco — compatível com o preparo final da receita. Pendência documentada: fundo de estúdio (não mármore+grama) e resolução 1200x896 (abaixo do mínimo 1600x1200), mesma pendência já aceita para Ordem 1/10/13/14/16."
4,81,Glacê para bolo,img/004-glace-para-bolo.webp,6ec9254872f9889c71e7ad65840c0381c66d2c8498886cf89cbed1fca6a9e398,"Glacê de cor marrom-chocolate brilhante, compatível com chocolate em pó confirmado na receita. Mesma pendência de padrão visual/resolução documentada."
5,11,Bolo Sarah,img/005-bolo-sarah.webp,0175060105629999e19bec85f368eeaa808c65cb75f479be8198c227d63d2b47,"Bolo em 3 camadas com recheio de caramelo claro, sem chocolate/decoração moderna — compatível com recheio de açúcar+manteiga+leite confirmado. Mesma pendência de padrão visual/resolução documentada."
6,24,Pão irlandês com pastel,img/006-pao-irlandes-com-pastel.webp,a198b86ede053dc0284e2350ae1d3447ae5de744fd6f3b64a501592a4221856c,"Fatia mostrando espiral de rocambole, exatamente o formato exigido pela receita. Mesma pendência de padrão visual/resolução documentada."
7,40,Pudim Francês,img/007-pudim-frances.webp,4fb01680f395018522a75cc5c6279906e8299d820f252c1762cc172dd6ea0dd6,"Queijo ralado visível na composição, pudim denso/dourado compatível com pudim de queijo assado (não flan genérico). Mesma pendência de padrão visual/resolução documentada."
9,35,Pudim de ameixas e claras (Sugi),img/009-pudim-de-ameixas-e-claras-sugi.webp,422f965724aa41cc4784355370c967c059e0cf6a42630f646a1424134851cc2a,"Cor rosa-arroxeada de ameixa, textura aerada, compatível com 250g de ameixas + 6 claras confirmados. Mesma pendência de padrão visual/resolução documentada."
11,75,Gelatina com salada de frutas,img/011-gelatina-com-salada-de-frutas.webp,6c6bfdbe5dcf4241325e4da9b0b7d5eb48034ec2be87417f8d997b2449dbd26a,"Gelatina vermelha transparente com frutas variadas confirmadas visíveis (morango, banana, maçã, laranja, nozes, passas). Mesma pendência de padrão visual/resolução documentada."
